DTC,DTD,Time,Val,Unit,Year
HQ0,MANUAL-Observed Discharge,2020-09-29 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-09-30 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-01 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-02 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-03 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-04 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-05 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-06 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-07 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-08 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-09 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-10 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-11 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-12 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-13 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-14 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-15 08:00:00,3.01,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-16 08:00:00,3.01,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-17 08:00:00,3.01,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-18 08:00:00,3.01,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-19 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-20 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-21 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-22 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-23 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-24 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-25 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-26 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-27 08:00:00,4.48,m3/sec,2020
